label,text
0,“@KissMySthrnSass: Coffee keeps me busy until it's acceptable to drink wine.”
0,Liquid lunch with Jake. (@ Annabelle's Bar &amp; Bistro - @annabelles_sf) http://t.co/BObyGDyizK
0,@GrantHardenUp @Wratislavova I thought I heard a smooth silky voice calling to me. I answer with vino &amp; dessert of your choosing
1,Last yueng in this country. - Drinking a Traditional Lager by @Yuengling_Beer at @pitairport  — http://t.co/ruUHuKIe5U
1,First night at flip didnt get carded dint get charged and free drinks im live
0,I've done it and still doing it. Lord knows I be drinking up her son's juice at times when I don't got no pop
1,"@kayyy_mariee you sober? Lolol its okay though, in the same boat. I've became quite an alcoholic 👌👌"
0,@TFogartyWinery Opened bottle of your 2008 Merlot to find jelly-like gunk all inside neck around cork. What is it? http://t.co/IH5GM5M6Oi
0,"TONIGHT REMIX FRIDAYS PARTY
AT
KATRA NYC LOUNGE

LADIES FREE BEFORE 1AM

DRINK SPECIALS BEFORE… http://t.co/yPH9Us7Bke"
0,@EliYoungBand Drunk Last Night comes on the radio at work &amp; I get so happy...inside: EEEEEE :) outside: how can I help you? #EYBFanProblems
1,How hard is it to fucking order? You annoying fucking drunks
1,Smoooth and creamy…tip it back!! Ahhh!!! - Drinking a Golden Ale @ Severna Park Taphouse - http://t.co/RbxlvdvF9d #photo
1,Drinking a Space Dust IPA by @ElysianBrewing @ Ballyhoo Links &amp; Drinks — http://t.co/yrxwfk4H9i
1,"Scottsdale Beer Club at The Attic for Founders beer 
and Burgers. — Drinking a Pale Ale at @theatticphx — http://t.co/rDcUtgOvll"
1,@kattprezz @paigerenee11 @pennington_max I knew if I showed up at 12 I was gonna have a beer bong and a keg stand meeting me at the door
1,"Eating well, drinking happily and enjoying the evening better at Charleston's... https://t.co/pJboqesgzz http://t.co/mu2JmbR8RY"
1,Drinking a Conway's Irish Ale by @GLBC_Cleveland @ Backdoor Bungalow — http://t.co/F7Yu0dP83I
1,@HistoryVikings Ragnar; you just keep drinking and stroke the baby goat! Them bitches are hostile!!!
0,He cheated n let the lady paint his tree. Cheater! @ Tequilla Rain Bar &amp; Dancing https://t.co/9ohLvMDGLX
1,Tonight's going good forsure. Beer fire food friends yyuuup
1,Drinking a Helles by @KCBierCo @ Kansas City Bier Company — http://t.co/kgrbzTQn5W
1,"Come drink n smoke wit us dawg, we in wyandotte..."
0,can't quit Starbucks because my drink costs over $10 😓
1,Kings down. I'm gonna drink this Vodka &amp; walk around &amp; play ding dong ditch. Lmfao #Childish
1,No bad - Drinking a He'Brew St. Lenny's by @ShmaltzBrewing @ St Johns River  — http://t.co/CrkDcn8DUS
0,@mikewall62 not even kidding. averys drink a had a bug in it.
0,98.3 just gave out rules to a shark week drinking game... I may or may not have written them down
0,World Cup time on Stone Street. #ifthereisavuvzelahere #someonewillgetstabbed @ Beckett's Bar &amp; Grill http://t.co/epQCKrTfrG
1,Lmfao wait I forgot I met a guy last night who gets drunk with Mr.Carney
1,"I'm turning 21.5 next Thursday, who wants to get 21.5 times drunker than my 21st with me???"
1,"Beer and rib fest. The best weekend of the summer! 

#kwribfest #ribs #beer #kitchenerwaterlooribfest… https://t.co/IFRnJJXuto"
1,Just beat last call. My time here is done. - Drinking a Hennepin Farmhouse Saison @ Rx Boiler Room - http://t.co/klrdjcgzav
0,Visiting vivster51 at her stomping grounds! @ Angels City Brewery http://t.co/sLwmvXa7WU
1,I wanna be knee deep in tequila and waist deep in men #Cabo
1,Drinking a Winnower Raspberry Truffle Porter by @burialbeer at @burialbeer — http://t.co/VqZRHbn73O #photo
0,"Drinking dranks, wearing tanks, and fucking skanks. Merica baby #TFM"
0,"My Boozy view this morning, before round 2 😫😁❤️ #inprogress because #imapussy #ow #ilovethem @ The… http://t.co/Il3CQeFEIC"
1,I definitely feel judged by the elders when I drink mimosas at a BYOB breakfast establishment #sorrynotsorry @lauritosliqs
0,@ChrisJots ur cheap beer water beer doesn't count! Lol
0,So little time for personal @ Aladdin Mediterranean Hookah Bar https://t.co/mpeXVYG1a9
1,I put moscato in my water bottle and I was drinking it cuz I thought it was water 😂🙈
1,Drinking a Darkness (Bourbon Barrel Aged) by @surlybrewing @ Darkness Day 2014 — http://t.co/NSuNBpmImB #photo
0,No sugary drink and no burgers for for lint
1,Drinking a Strongbow Gold by @bulmerscider @ Gypsy Lounge — http://t.co/VQlfcKXupY
0,"Bruh I'm finna go to my backyard and put one in da air, I hate being sober"
1,@skinny4949 he is so frazzled!  I hope he gets it together. If I wasn't on the program if have a beer and limoncello in my hand by now 😣
0,fuck tequila tuesday where are the tacos
0,@emmonsaggie TWO BUCKS BI can get a bottle of wine at Trader Joe's for that. 😒
0,I'm at 3 Queens Restaurant &amp; Bar (Providenciales) http://t.co/MpDQUmFeRV
0,Acabo de publicar una foto @ R. Stuart &amp; Co. Winery and Wine Bar http://t.co/7XVIob3qJ1
1,Post show fanciness with a cocktail at Buddakan. #fancy #nyc #buddakan @ Buddakan http://t.co/kzAWEEpVrH
0,"Maryland Microbrew festival (@ Union Mills Homestead Park in Union Mills, MD) https://t.co/RvEiXwENdk"
0,@djgofgof_ unfortunately well have to drink juice boxes next weekend I'm going back home. But I'll be back and ready to rage face
1,@Jeremy_Danner  you drink beer like this dude eats Hardee's burgers.  Same face. http://t.co/fzCIAW954G
0,There is a reason my twitch layout is just a bar with my media at the top. I'm a lazy fuck and it's too simple to be considered bad imo.
1,@habberfied OMG I drank too much aftervthatbshittyn game
1,Myself and @LindseyCza just had two vodka shots at the liquor store lol glad she's home
0,@santana0903 aah I see ... Echate un toke lmao jk jk ... Echate un tequila entero y vas a ver que quedas out 😂😂
0,"I feel like a party now days is just 
1.beer pong 
2. People watching beer pong 

What happened to people dancing?"
1,24 pounds of cucumbers per barrel - Drinking an Elektrick Cukumbahh by @TrinityBrewing at @swankys  — http://t.co/KtvpBCR4Eu
0,"Come vap @ iron city vapor lounge Gibsonia ,pa try her new cockhead juice vapor @ iron city vapor lounge http://t.co/n0AB5uMkJk"
0,“@FlexxHard_Shawn: Don't no Nigga want a bitch that's out partying smoking and drinking every night 😷”📖📖📖
0,craving a chocolate bar and i dont even like chocolate
0,“@WhatTheFFacts: Coca-Cola isn't just for drinking http://t.co/DSVEAJ41jX” but y'all love drinking coke
0,Pdank is out here Milwaukee. Where the weed at? @ Rock Bottom Brewery - Milwaukee http://t.co/kPYM4Jne7C
1,Drinking a Peanut Butter Chocolate Milk Stout by @4handsbrewery at @linkstaproom — http://t.co/PR50iZJGIO
1,This daq is ass nasty but I'm gonna drink it anyway. 😂
1,Birthday crème brûlée and tequila shot! @ Reata Restaurant https://t.co/cTuCJFBWGa
0,Wait what.....no fat people allowed in restrooms. #dontdiscriminate @ Smokey Bones Bar &amp; Fire Grill -… http://t.co/a2IyssxB5Y
0,we'll atleast I made a good life decision on going sober
0,Snoop Dogg gig made my weekend # yeahigotthispiconmycalculator#rap#hiphopatitsbest# @ Ten Nightclub http://t.co/fkjiilLklT
1,I totally danced on the bar at Coyote Ugly and had to get on my knees and take a shot. #Success lol
1,is everyone soft? let's get the liquor flowin
0,My other half ❤️ @ Rosenthal - The Malibu Estate Wines https://t.co/DdP6TmmQi3
0,"With as many times as they say Carol Anne's name in The Poltergeist, you could make a drinking game out of it."
0,I wonder if bugs can get drunk .. - dad
0,Productive weekend with my fiancé @amers_24. Organized our closet and installed the wine chiller for our new case of wine!!
0,Grab a #donut too! 😏📚📖🍩☕️ @BassLibrary MT “@YaleDining: Feeling the chill - stop in for a hot beverage #yaledining #kbtcafe #thaincafe” #nhv
1,Very smooth. - Drinking a Bourbon Barrel Aged Dark Side Porter by @lompocbeer @ Lompoc Sidebar  — http://t.co/ZnqFkJGnLs
1,"Cask with tangerine peels, dry hopped with falconer's - Drinking a So Over It IPA at @capcitybrewers - http://t.co/GLASUpBs4X"
0,forgot how cheap alcohol was in #oklahoma
0,@JadedBastard72 pazzospizzapub. @ Pazzo's Pizza Pub https://t.co/hl237YiSDY
0,Loaded Mac-N-cheese. Yum! @ Terminal Brewhouse https://t.co/1698xAnraR
1,Wine drunk will forever be my favorite kind of drunk 💗🍷❤️
0,Sex without feelings is like drinking something without ice... I cant
0,Charley's showing of his photography tonight (for sale). Come check it out. (@ Flip's Wine Bar &amp; Trattoria) https://t.co/4pQ1jApLXz
0,Kinda wanna go to the hookah bar that hit up uncc
1,@ritchiejrm enough to get Ya drunk is usually the answer with Tequila. #mancooking lol
0,You can't get drunk with just two people. If its only two people getting drunk then its not a party
1,Beers with cassgeo @ Dierks Whiskey Row - Scottsdale http://t.co/UL0Y3KSywf
1,Soooooooo in love with this pomegranate margarita! My new fav drink 🍸🍷💃 @ Yard House - Los Angeles http://t.co/xtCqszPh09
0,Alcoholic slushie bar. @LakesideKatie @mersersa @ Wet Willie's http://t.co/rWBwiI5fFU
0,"""LUKE AND KIANA"" I'M LITERALLY DRINKING BLEACH AS WE SPEAK"
0,"I'm at The Crossroads Bar &amp; Grill - @crbg_chicago (Chicago, IL) http://t.co/bBURCZ1OOr"
1,A Lot of wine was consumed today
1,"Is there anybody out here, wanna have a cold beer kick it to the morning light"
0,"I pull up at the club VIP, gas tank on E but all drinks on me."
0,Calamari Rolls for Lunch? I think yes!! #IAMDOWNTOWN #YYCSUSHI #YYCEATS #yycfoodie @ Gohan Sushi Lounge http://t.co/fGEN16gPtQ
0,"#ChillyFest It's happening NOW. Get down to McMorran, grab a beer and get ready for the @BWYPs Bed Races at 3!"
0,Join us today for the ALL NEW 3 course Brunch Menu at  Avenue Blue.. Brunch 12pm-4pm we drink Til… https://t.co/kBBcDiubbA
1,A long ass day deserves a bomb ass beer. - Drinking a Campfire Stout at @pizzaloungehb - http://t.co/mqdRYfxoMU #photo
0,"I'm not in some way a ""better fan"" than these fools around me in the bar ... I'm not in some way a ""better fan"" ...
#mantra"
0,First night on the floor by myself aka I finally made some money!! Can't wait to spend it on booze and other things... #mostlybooze
1,I don't know if I'm ready for @bhow08 's drunk butt all week. Just come back to Indiana!
0,"Dinner with Ed &amp; Chris! (@ Andre's Bouchee Bistro and Wine Bar in Carmel, CA) https://t.co/HRQUdzNQ3Z"
1,Drinking a Dank &amp; Sticky by @TheHopConcept @ Lawrenceville Community Garden — http://t.co/6zpO6BU0y9
0,"Tonight for your listening pleasure, @tcfambro will be performing for all of our wonderful patrons. Free music &amp; cheap drinks"
1,Ready to drink way to much. Can this week be over
0,never drink with an empty stomach
0,"@GreatfulDane5 also Beer and Bacon Dip. Google super bowl 2015 bacon recipes. They both should be there. If not, I'll send you recipes."
1,Need to goto NY drink some corona limes nd smoke some blunts with @sagaboii like we use to
0,I cant help fallin inlove i cant get enough im drunk on love (8) -rihanna TONES ATM !
0,"Beers too cold to be thinkin' bout you @ Oneonta, New York https://t.co/hyGewU3Kl4"
1,"""@Kali_Jo2: Rollercoasters + still drunk from lastnight........ bad combo ""=Puke"
1,@butchy18 youll be blacky after 2 beers im not worried
1,Whosoever brings a flat of margaritas by cirrus gallery for this KCHUNG thing will get a whole USB stick full of Previa pix. We need those.
0,“@WomensHumor: Sometimes I take a bath because it's hard to drink wine in the shower.” @Mick_Karp @TiffneyLeonard
0,"So what happens when you start drinking and instagramming? We should coin a phrase for that like drunkagramming! Haha! Nifty, I know 😉😝"
1,Drinking a Weihenstephaner Hefeweissbier by @weihenstephan @ The Beer Shack — http://t.co/jDZTbTPY8Y #photo
0,At #Lure with  michelle_leilani 👯 #hollywood @ Lure Nightclub http://t.co/b5zeJXzV9l
0,"Yes, we have it in stock. @brianwillette Not Your Father's Root Beer @ Honeygo Wine &amp; Spirits https://t.co/cDO4r3deTs"
0,Stupid dad. Took all the beer before I could stash one.
1,I want some chicken and watermelons with a beer 😁😁😁
0,do u care that Nazi Germany used fluoride to make prisoners docile &amp; infertile? don't drink ya tap
0,Oomfs made me feel so bad last night lol. Ima start drinking energy drinks now so I'll stay up longer 😂
1,Haha if you come near death at country fest you probably just shouldnt drink if you cant handle your shit by now
0,@emmonsaggie @DCDouchbag no it isn't it's lovely and beautiful and has the oldest bar in America.
1,Holy crap last keg!? - Drinking a Space Cowboy by @PeoplesBrew at @peoplesbrew  — http://t.co/JOeDe9p180 #photo
1,Margarita night with the loves of my life! #tortillaflats @ Tortilla Flats NYC http://t.co/u85UyS95V6
0,"All you can eat and drink BBQ? Hell ya, thanks America (at @Vinoteque) http://t.co/PWH5WdakB0"
0,Glad the Packers start on Thursday and not Sunday.  Sick of the Brewers bullshit.
1,And we're out! Cheers Puerto Rico! Not sure drinking on the beach was allowed but nokurfewnate and I… https://t.co/8IzBM0R40e
1,"This sat morning they're over to drink and gamble before they go off to a funeral..
Lol"
1,Girl quit playin 😒 you just drunk you just saying shit
1,"A random guy just bought me a drink bc he remembered my dad's 19th death anniversary is on Sunday,&amp; he told me stories of how great dad was."
1,Can't wait to take pictures of my girlfriend when she blacks out at brewers games this year. #playonplaya
1,Can't wait to get drunk as fuck with @ayebaiibaii next weekend!
1,@CoreyMJordan Maria will be running too. I'll have a beer boot waiting for whoever finishes first.
0,@SaintArnold since so many places are following the SA preference of in bar only then that is up to them.
1,Shaking Jack Parkers hand was second after booze #Theboysareplaying
1,Drunk Already @ Sheraton Suites Philadelphia Airport Hotel http://t.co/jKVnREPedo
0,I get daily headaches bc I don't drink enough water throughout the day and you'd think id learn but nope
1,I think I shot back non alcoholic liquor or something #Untouched #ItsFiveOClockNowhere
1,Sheridens first legal drink I'm the States 🍸🍺🍹🍷🇺🇸X http://t.co/We5x647yaR
0,Seriously wanna know why this drunk mode keeps tweeting me lol #ItsASign
1,Sampling some Indiana brews with Laurie at @tritonbrewing - Sin Bin Pale Ale is the frontrunner!… http://t.co/tG5Gs0Xbai
1,Happy hour! - Drinking a Chaotic Double India Pale Ale by @ManzanitaBrew @ Side Bar  — http://t.co/uZR5pu8gbr #photo
0,"B&amp;B Herf Time (@ hogshead cigar lounge in Fredericksburg, VA) https://t.co/eEO0ymrFTF http://t.co/BTbqW5fyHl"
1,YOU BIT ME! RT @Amanda_Shappee: @Krystle_Hill1 reminiscing about wine tour adventures! #shapshouldntdrink. #embarrassing
1,@Wolfenhaus @gillian19 @BibsUpDex Gotta wine and dine before positing such a request.
1,"“@collegefession: ""The frat parties here are a joke... So we steal alcohol and leave"" - DePaul University”@kristendaunt"
1,95° + food truck + live music × great cold beer = Fantastic Friday Night #drinklocal... https://t.co/TBAUjT4W9x http://t.co/E6kFhNgu2S
0,"So I don't know, Sens fans, maybe don't get drunk and almost get in fights at games? Especially tonight?"
0,"""We just young and independent, drink like it's a race an' we about to win the pennant"""
1,Over 100 beers on draft so we couldn't pick just one. #beerflights  @ Yard House - Glenview http://t.co/f0U6rRFvO1
0,"Look! Juvenile Red Tail Hawk!  Common in wine country, but a rarity in these parts of town.  #urbanwildlife http://t.co/bUZhtrT8pa"
0,The vending machine just gave me $1 and a free granola bar
1,Footy and beers - Drinking a Rebel IPA by @SamuelAdamsBeer @ Laughing Man Tavern  — http://t.co/6s63AoQLob
1,It's like my 5th one... - Drinking a Making Strides Hibiscus Ale by @TuckahoeCo at @thepourhousenj  — http://t.co/ICp9A56yj3
0,Got pulled over in bethesda cop thought I.was drunk I past all his test. like a pro n walked away n did the #ShmoneyDance had them crackin!!
0,Bro my girl On Lebron and the Heat Dick Like really bar #FuckTheHEAT  #Fuck#6 #fuckTheHeat2x #fuckheatfans #FuckmyGF http://t.co/L4aliVlBee
1,"I'm going get drunk tonight , I'm not talking too him tonight nor tomorrow big eyed bastard 😒‼️"
1,"Drinks for my bro's Bday @FlyingSaucerLak. On this day, and the same age he was, my cousin died of a brain aneurysm http://t.co/3jI6Xs9k0c"
0,Anyone know if a good bar that serves food after 10 in Chicago?! Preferably Lincoln Park/Lakeview! I can't think of anything
